,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1784,1507161600,4365.76,4143.35,4218.66,63613.2,271914958.4,4321.44,direct,
1785,1507248000,4422.15,4296.93,4321.44,61692.93,269878225.69,4371.94,direct,
1786,1507334400,4472.92,4319.48,4371.94,40202.08,176332039.12,4435.81,direct,
1787,1507420800,4622.87,4419.36,4435.81,71366.95,323063950.84,4611.7,direct,
1788,1507507200,4875.38,4556.15,4611.7,110191.77,518586828.49,4777.49,direct,
1789,1507593600,4930.0,4722.81,4777.49,98485.0,475717720.64,4763.36,direct,
1790,1507680000,4874.89,4718.6,4763.36,70482.75,338533507.33,4824.2,direct,
1791,1507766400,5432.63,4814.98,4824.2,163916.09,848641969.34,5432.62,direct,
1792,1507852800,5852.78,5391.97,5432.62,215018.92,1211469140.96,5637.26,direct,
1793,1507939200,5839.62,5568.86,5637.26,76224.35,434406119.95,5824.71,direct,
1794,1508025600,5862.69,5448.22,5824.71,101636.95,571166215.25,5688.14,direct,
1795,1508112000,5795.33,5576.1,5677.35,61358.95,349154669.33,5759.33,direct,
1796,1508198400,5773.32,5521.09,5759.25,65637.43,368658284.35,5598.58,direct,
1797,1508284800,5601.3,5114.87,5598.58,122020.31,654722509.03,5575.83,direct,
1798,1508371200,5737.41,5517.62,5576.71,83056.09,469774559.06,5698.65,direct,
1799,1508457600,6075.32,5611.39,5698.62,123860.51,729487923.01,5993.11,direct,
1800,1508544000,6187.2,5874.54,5993.11,112943.89,684989667.22,6006.65,direct,
1801,1508630400,6070.56,5722.98,6006.65,105030.93,618893096.8,5982.86,direct,
1802,1508716800,6048.98,5644.22,5982.86,137140.4,801148315.46,5903.61,direct,
1803,1508803200,5904.63,5463.41,5903.61,143735.81,811951129.66,5513.08,direct,
1804,1508889600,5747.96,5375.64,5513.08,105839.48,585738379.88,5734.0,direct,
1805,1508976000,5970.4,5689.92,5734.0,93675.55,547664553.57,5887.61,direct,
1806,1509062400,5997.83,5692.32,5887.62,83933.5,488283724.04,5764.56,direct,
1807,1509148800,5871.04,5654.8,5764.56,53232.17,305611140.99,5726.61,direct,
1808,1509235200,6295.43,5679.37,5726.61,163055.75,966990808.93,6147.52,direct,
1809,1509321600,6226.18,6018.97,6147.7,78624.31,481600502.95,6124.28,direct,
1810,1509408000,6467.2,6090.83,6124.28,101249.62,637838767.02,6451.24,direct,
1811,1509494400,6738.74,6355.0,6449.1,133191.93,869798619.79,6737.78,direct,
1812,1509580800,7339.91,6737.77,6737.78,238796.19,1663170039.86,7024.81,direct,
1813,1509667200,7445.62,6938.93,7024.81,154886.75,1120978013.29,7152.12,direct,
1814,1509753600,7492.24,6957.84,7146.98,106602.67,773371754.85,7363.8,direct,
1815,1509840000,7599.44,7284.33,7363.8,105727.2,789287755.18,7389.55,direct,
1816,1509926400,7429.7,6934.73,7389.55,159688.48,1148125488.89,6959.23,direct,
1817,1510012800,7222.37,6957.8,6959.27,101044.57,716798409.14,7102.75,direct,
1818,1510099200,7869.1,7026.97,7102.23,220224.38,1632547465.88,7444.36,direct,
1819,1510185600,7457.12,7040.83,7444.36,126769.9,915963933.06,7129.59,direct,
1820,1510272000,7318.97,6406.05,7129.59,222001.18,1513421266.51,6565.8,direct,
1821,1510358400,6821.5,6197.87,6565.8,135719.07,878096915.35,6339.86,direct,
1822,1510444800,6490.53,5493.64,6339.87,269832.87,1629165385.9,5878.13,direct,
1823,1510531200,6760.15,5828.34,5878.09,178340.89,1135256036.03,6522.45,direct,
1824,1510617600,6728.59,6419.18,6522.45,96502.09,634604991.54,6597.06,direct,
1825,1510704000,7330.06,6596.94,6597.06,131120.23,922959468.47,7283.22,direct,
1826,1510790400,7964.64,7119.17,7283.02,133937.8,1010130763.21,7853.68,direct,
1827,1510876800,8000.19,7534.7,7853.68,117347.03,917599923.24,7699.95,direct,
1828,1510963200,7857.52,7458.9,7699.95,74382.12,571121111.0,7780.91,direct,
1829,1511049600,8100.87,7675.41,7781.02,68618.85,541391321.61,8042.64,direct,
1830,1511136000,8294.12,7947.28,8042.64,75703.64,617354329.03,8244.69,direct,
1831,1511222400,8368.36,7819.06,8245.87,115454.28,938345413.24,8099.97,direct,
1832,1511308800,8304.37,8091.63,8099.92,65811.68,539697375.37,8234.55,direct,
1833,1511395200,8266.55,8012.35,8234.5,68010.7,555465146.26,8013.41,direct,
1834,1511481600,8332.94,7900.17,8013.38,72994.63,595710405.8,8200.8,direct,
1835,1511568000,8761.98,8153.7,8203.45,84670.41,718483679.6,8754.69,direct,
1836,1511654400,9474.62,8746.56,8754.62,85891.98,782499976.71,9318.42,direct,
1837,1511740800,9733.61,9316.84,9318.42,106902.79,1025175619.87,9733.2,direct,
1838,1511827200,9969.58,9638.2,9732.63,87754.89,865328615.73,9906.04,direct,
1839,1511913600,11417.84,8938.7,9906.04,233325.32,2418792360.6,9837.86,direct,
1840,1512000000,10689.06,9023.77,9848.05,187008.87,1836210107.31,9946.76,direct,
1841,1512086400,10942.8,9420.93,9947.08,131918.85,1353669597.43,10861.47,direct,
1842,1512172800,11175.23,10715.55,10861.47,86825.51,950474241.58,10912.73,direct,
1843,1512259200,11851.09,10578.43,10912.72,122125.7,1380012064.12,11246.21,direct,
1844,1512345600,11624.63,10917.81,11244.2,93173.9,1057859226.18,11623.91,direct,
1845,1512432000,11901.87,11486.13,11624.37,89687.21,1048839303.8,11667.13,direct,
1846,1512518400,13843.2,11661.76,11667.13,191576.66,2437037791.81,13749.57,direct,
1847,1512604800,16879.26,13401.61,13750.09,297108.66,4510225316.19,16850.31,direct,
1848,1512691200,17294.85,13906.1,16867.98,286762.02,4546014731.58,16047.61,direct,
1849,1512777600,16313.18,13151.47,16048.18,181979.81,2699876215.33,14843.42,direct,
1850,1512864000,15783.2,13031.0,14839.98,201620.09,2904037859.64,15059.6,direct,
1851,1512950400,17399.18,15024.56,15060.45,159724.56,2634267594.52,16732.47,direct,
1852,1513036800,17560.65,16254.53,16733.29,132846.57,2246138895.89,17083.9,direct,
1853,1513123200,17267.96,15669.86,17083.9,155407.35,2576055941.69,16286.82,direct,
1854,1513209600,16941.08,16023.64,16286.82,107918.03,1773813863.46,16467.91,direct,
1855,1513296000,17987.03,16442.2,16467.91,153651.15,2682351213.91,17604.85,direct,
1856,1513382400,19587.7,17318.54,17594.08,112173.97,2078806368.79,19345.49,direct,
1857,1513468800,19870.62,18750.91,19346.6,117408.38,2264650369.71,19065.71,direct,
1858,1513555200,19221.1,18114.42,19065.71,139251.39,2597510049.89,18972.32,direct,
1859,1513641600,19021.97,16812.8,18971.19,174543.37,3136709262.09,17523.7,direct,
1860,1513728000,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,direct,
1861,1513814400,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,direct,
1862,1513900800,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,direct,
1863,1513987200,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,direct,
1864,1514073600,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,direct,
1865,1514160000,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,direct,
1866,1514246400,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,direct,
1867,1514332800,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,direct,
1868,1514419200,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,direct,
1869,1514505600,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,direct,
1870,1514592000,14461.46,11962.09,14392.14,182065.44,2387311023.42,12531.52,direct,
1871,1514678400,14241.82,12359.43,12532.38,111270.55,1492142483.58,13850.4,direct,
1872,1514764800,13921.53,12877.67,13850.49,78425.21,1057521524.42,13444.88,direct,
1873,1514851200,15306.13,12934.16,13444.88,137732.17,1956783037.35,14754.13,direct,
1874,1514937600,15435.01,14579.71,14754.09,106543.39,1604206990.04,15156.62,direct,
1875,1515024000,15408.66,14244.67,15156.49,110968.82,1656714736.62,15180.08,direct,
1876,1515110400,17126.95,14832.36,15180.08,141960.42,2283988962.92,16954.78,direct,
1877,1515196800,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,direct,
1878,1515283200,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,direct,
1879,1515369600,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,direct,
1880,1515456000,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,direct,
1881,1515542400,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,direct,
1882,1515628800,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,direct,
1883,1515715200,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,direct,
1884,1515801600,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,direct,
1885,1515888000,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,direct,
1886,1515974400,14355.82,13416.71,13638.63,84089.84,1170462750.59,13631.98,direct,
1887,1516060800,13648.84,10032.69,13634.6,325702.79,3842651741.45,11282.49,direct,
1888,1516147200,11736.3,9205.38,11282.49,348631.94,3666978316.26,11162.7,direct,
1889,1516233600,12018.43,10642.33,11162.7,204918.02,2357251805.09,11175.52,direct,
1890,1516320000,11780.49,10867.18,11175.52,110885.87,1264875700.45,11521.76,direct,
1891,1516406400,13031.04,11502.11,11521.82,119084.84,1492721765.44,12783.94,direct,
1892,1516492800,12787.35,11101.73,12783.54,130427.64,1552755289.93,11549.93,direct,
1893,1516579200,11913.74,10067.76,11549.98,165723.08,1811992345.95,10814.52,direct,
1894,1516665600,11388.52,9980.5,10814.52,158868.59,1710180828.64,10858.23,direct,
1895,1516752000,11531.6,10506.55,10853.78,115804.82,1286435482.05,11429.02,direct,
1896,1516838400,11741.92,10930.34,11428.11,93317.76,1061064251.44,11175.87,direct,
1897,1516924800,11656.54,10346.86,11175.87,142350.84,1560135332.27,11104.2,direct,
1898,1517011200,11638.69,10879.2,11104.34,90873.81,1031091633.68,11459.71,direct,
1899,1517097600,12064.19,11407.94,11460.39,87917.22,1038153169.8,11767.74,direct,
1900,1517184000,11860.29,11089.52,11767.74,80713.7,920836244.04,11233.95,direct,
1901,1517270400,11263.7,9871.21,11234.32,164072.93,1720894077.2,10107.26,direct,
1902,1517356800,10377.96,9698.13,10107.4,122260.49,1230902973.11,10226.86,direct,
1903,1517443200,10280.84,8726.95,10226.86,208918.8,1964308989.29,9114.72,direct,
1904,1517529600,9147.93,7786.2,9114.73,322596.22,2768759876.15,8870.82,direct,
1905,1517616000,9504.37,8194.68,8872.87,139226.07,1253484523.4,9251.27,direct,
1906,1517702400,9400.99,7889.83,9251.27,164609.06,1413207410.82,8218.05,direct,
1907,1517788800,8391.29,6627.31,8218.05,341828.54,2534149181.03,6937.08,direct,
1908,1517875200,7932.38,5968.36,6936.43,495883.24,3397596513.74,7701.25,direct,
1909,1517961600,8572.68,7208.86,7701.25,271450.37,2159765331.36,7592.72,direct,
1910,1518048000,8643.94,7590.48,7593.78,193040.33,1594673973.51,8260.69,direct,
1911,1518134400,8743.2,7775.36,8259.26,162279.68,1348072086.15,8696.83,direct,
1912,1518220800,9081.49,8176.25,8696.83,155616.78,1348923336.33,8569.29,direct,
1913,1518307200,8573.35,7862.31,8569.32,123293.84,1013771945.88,8084.61,direct,
1914,1518393600,8997.34,8084.41,8084.61,124923.98,1085921871.17,8911.27,direct,
1915,1518480000,8955.15,8379.35,8911.17,98632.88,853320352.71,8544.69,direct,
1916,1518566400,9508.22,8542.98,8544.69,133702.54,1220863360.18,9485.64,direct,
1917,1518652800,10223.58,9363.38,9485.64,168776.78,1666668487.88,10033.75,direct,
1918,1518739200,10303.14,9720.38,10033.75,105556.67,1061827697.26,10188.73,direct,
1919,1518825600,11119.45,10074.07,10188.73,123660.48,1327921168.02,11097.21,direct,
1920,1518912000,11288.34,10161.01,11097.21,154431.22,1659704217.34,10417.23,direct,
1921,1518998400,11265.96,10336.32,10418.12,108244.29,1186535653.61,11182.28,direct,
1922,1519084800,11802.23,11130.95,11182.28,142449.23,1640343867.77,11256.43,direct,
1923,1519171200,11295.58,10256.21,11256.78,183274.25,1982721124.63,10481.66,direct,
1924,1519257600,10941.57,9757.19,10481.66,175506.26,1795951829.82,9847.96,direct,
1925,1519344000,10420.67,9604.0,9847.96,139373.76,1399448203.16,10175.51,direct,
1926,1519430400,10528.0,9396.54,10175.51,125269.68,1244484468.57,9705.73,direct,
1927,1519516800,9873.79,9329.44,9705.73,82430.45,793093192.66,9610.11,direct,
1928,1519603200,10457.51,9411.82,9610.11,117416.47,1181729273.47,10326.5,direct,
1929,1519689600,10879.38,10154.24,10326.5,99772.39,1060840699.02,10594.76,direct,
1930,1519776000,11067.76,10303.14,10594.76,105434.79,1126074675.67,10334.44,direct,
1931,1519862400,11090.3,10247.56,10334.44,88432.44,952472120.03,10929.37,direct,
1932,1519948800,11191.94,10801.45,10929.37,77195.49,852908489.64,11043.12,direct,
1933,1520035200,11530.66,11043.12,11043.12,71279.36,812200126.22,11465.36,direct,
1934,1520121600,11539.79,11084.01,11465.36,61016.39,690727335.55,11504.42,direct,
1935,1520208000,11694.15,11431.55,11503.94,68323.51,791471905.1,11440.73,direct,
1936,1520294400,11441.65,10589.28,11440.33,109876.55,1210081181.36,10735.45,direct,
1937,1520380800,10913.7,9470.73,10735.45,183060.08,1858869115.0,9928.56,direct,
1938,1520467200,10119.21,9086.85,9928.56,154879.22,1492236089.97,9316.72,direct,
1939,1520553600,9433.38,8393.45,9316.77,233598.15,2081621422.7,9252.76,direct,
1940,1520640000,9518.62,8727.43,9252.76,117409.38,1084925795.69,8797.27,direct,
1941,1520726400,9735.64,8484.32,8797.27,149877.66,1374814644.2,9544.84,direct,
1942,1520812800,9907.41,8796.52,9543.98,152959.8,1435404200.39,9142.15,direct,
1943,1520899200,9486.12,8856.65,9142.27,133768.47,1228556284.3,9160.12,direct,
1944,1520985600,9360.66,7966.94,9160.12,161775.05,1385572511.72,8217.7,direct,
1945,1521072000,8432.12,7698.47,8216.22,187365.71,1519850464.55,8268.41,direct,
1946,1521158400,8616.63,7924.11,8267.95,129688.11,1082790136.53,8283.23,direct,
1947,1521244800,8360.64,7765.41,8283.23,111641.32,901939422.97,7883.45,direct,
1948,1521331200,8299.86,7318.46,7882.67,198796.34,1535519444.95,8215.4,direct,
1949,1521417600,8725.6,8129.66,8215.5,171829.52,1447812723.08,8623.14,direct,
1950,1521504000,9056.23,8339.8,8623.14,131959.66,1150462439.42,8920.71,direct,
1951,1521590400,9184.51,8778.69,8920.53,109985.22,991376396.96,8911.35,direct,
1952,1521676800,9107.0,8500.88,8911.37,116522.98,1023286566.15,8724.98,direct,
1953,1521763200,8935.88,8307.58,8724.98,109649.39,939997284.45,8934.8,direct,
1954,1521849600,9036.23,8515.53,8935.51,93296.24,827663165.33,8548.06,direct,
1955,1521936000,8690.36,8395.85,8548.39,76775.64,657643520.26,8472.84,direct,
1956,1522022400,8521.04,7869.27,8472.56,131859.97,1079038734.78,8152.2,direct,
1957,1522108800,8226.24,7752.3,8152.18,116523.1,930754990.52,7808.48,direct,
1958,1522195200,8117.79,7752.6,7808.42,82590.62,657712114.92,7959.78,direct,
1959,1522281600,7983.77,6927.11,7959.78,185805.88,1379180030.3,7106.62,direct,
1960,1522368000,7280.27,6595.26,7106.62,229837.79,1584675343.21,6853.76,direct,
1961,1522454400,7228.4,6806.34,6853.75,129526.48,915400590.57,6943.77,direct,
1962,1522540800,7056.22,6463.54,6943.77,131344.01,889887684.72,6835.84,direct,
1963,1522627200,8218.66,6792.3,6835.58,106513.22,748861435.14,7074.6,direct,
1964,1522713600,7528.97,7039.88,7074.65,122807.02,905326798.64,7434.3,direct,
1965,1522800000,7442.42,6727.09,7434.3,123910.33,877199782.17,6815.5,direct,
1966,1522886400,6933.66,6602.38,6815.5,114426.84,777145174.76,6790.45,direct,
1967,1522972800,6869.53,6526.67,6790.45,90749.16,605651287.47,6634.86,direct,
1968,1523059200,7083.85,6624.47,6634.86,81312.77,564883141.53,6917.2,direct,
1969,1523145600,7132.03,6911.02,6917.2,60386.23,425825572.09,7049.92,direct,
1970,1523232000,7204.28,6633.69,7049.92,130534.03,901883664.92,6789.53,direct,
1971,1523318400,6922.84,6676.72,6789.53,62035.53,424510977.27,6871.07,direct,
1972,1523404800,6999.37,6839.16,6871.07,64802.3,450141340.22,6977.13,direct,
1973,1523491200,8051.95,6791.33,6977.04,197276.82,1490759969.77,7927.73,direct,
1974,1523577600,8237.16,7758.8,7927.73,145665.26,1171435820.59,7899.11,direct,
1975,1523664000,8195.34,7841.19,7898.74,66678.63,537286381.88,8022.51,direct,
1976,1523750400,8437.03,8021.04,8022.51,68822.07,570527804.56,8376.73,direct,
1977,1523836800,8430.93,7929.24,8376.73,87681.75,713471956.84,8079.77,direct,
1978,1523923200,8187.6,7858.12,8079.77,71933.6,580880500.84,7921.63,direct,
1979,1524009600,8246.57,7908.92,7921.65,73050.12,593500791.64,8189.96,direct,
1980,1524096000,8321.01,8136.42,8189.92,72820.98,602099034.89,8301.82,direct,
1981,1524182400,8945.14,8243.49,8301.82,114730.74,979994921.45,8877.08,direct,
1982,1524268800,9047.82,8631.18,8877.15,93635.24,829073400.66,8935.72,direct,
1983,1524355200,9043.98,8788.44,8935.85,68212.83,610183093.43,8823.36,direct,
1984,1524441600,9025.73,8804.2,8823.46,61895.95,553892335.42,8968.25,direct,
1985,1524528000,9741.91,8957.68,8967.86,136352.05,1276464750.74,9655.77,direct,
1986,1524614400,9765.23,8757.06,9657.69,192797.41,1779806222.98,8873.62,direct,
1987,1524700800,9315.13,8669.38,8873.57,111690.32,997427934.62,9282.12,direct,
1988,1524787200,9385.87,8923.48,9289.01,82025.4,758182407.35,8938.47,direct,
1989,1524873600,9435.9,8892.52,8938.47,83347.1,774111704.68,9351.47,direct,
1990,1524960000,9552.67,9189.07,9349.94,68227.03,640931911.37,9407.04,direct,
1991,1525046400,9459.81,9133.6,9407.35,61631.36,574099218.21,9248.45,direct,
1992,1525132800,9251.66,8851.1,9248.25,74147.8,669555436.99,9077.28,direct,
1993,1525219200,9271.62,8993.82,9077.28,57618.44,527488395.49,9232.19,direct,
1994,1525305600,9817.19,9172.28,9232.19,90631.98,857646889.15,9745.04,direct,
1995,1525392000,9785.15,9547.21,9746.26,68689.75,663887678.35,9699.61,direct,
1996,1525478400,9968.85,9687.09,9700.37,68875.75,679872376.4,9845.9,direct,
1997,1525564800,9936.96,9441.93,9846.44,62904.49,608650204.19,9644.92,direct,
1998,1525651200,9662.23,9202.13,9643.99,73842.44,692580062.51,9377.81,direct,
1999,1525737600,9472.09,9063.07,9377.08,72659.12,673924125.29,9196.13,direct,
2000,1525824000,9373.46,8987.27,9196.13,67939.11,625495066.08,9321.16,direct,
